NACIONALIDAD , VARONES , MUJERES , TOTALES 
ALBANIA , 1 , 0 , 1 
ALEMANIA , 340 , 89 , 429 
ANDORRA , 0 , 4 , 4 
ARABIA SAUDITA , 1 , 0 , 1 
ARGELIA , 4 , 1 , 5 
ARGENTINA , 16 , 27 , 43 
ARMENIA , 1 , 0 , 1 
AUSTRALIA , 2 , 2 , 4 
AUSTRIA , 44 , 9 , 53 BIELORUSIA , 1 , 3 , 4 
BOLIVIA , 0 , 6 , 6 
BOSNIA Y HERZEGOVINA , 0 , 1 , 1 
BRASIL , 17 , 20 , 37 
BULGARIA , 9 , 6 , 15 
BÉLGICA , 84 , 24 , 108 
CAMERÚN , 1 , 1 , 2 
CANADÁ , 9 , 20 , 29 
CHECOSLOVAQUIA , 6 , 2 , 8 
CHILE , 8 , 13 , 21 
CHINA (REP. POPULAR) , 5 , 6 , 11 
CHIPRE , 11 , 0 , 11 
COLOMBIA , 14 , 19 , 33 
COREA DEL SUR , 0 , 1 , 1 
CUBA , 5 , 6 , 11 
DESCONOCIDO , 1 , 0 , 1 
DINAMARCA , 23 , 4 , 27 
DOMINICA , 0 , 1 , 1 
ECUADOR , 6 , 4 , 10 
EE. UU. DE AMERICA , 96 , 62 , 158 
EGIPTO , 2 , 0 , 2 
EL SALVADOR , 1 , 0 , 1 
ESLOVAQUIA , 17 , 15 , 32 
ESLOVENIA , 1 , 6 , 7 
ESPAÑA , 22438 , 30067 , 52505 
ESTONIA , 12 , 4 , 16 
ETIOPÍA , 3 , 2 , 5 
FIDJI , 1 , 2 , 3 
FILIPINAS , 0 , 1 , 1 
FINLANDIA , 24 , 8 , 32 
FRANCIA , 301 , 107 , 408 
GABÓN , 1 , 0 , 1 
GRECIA , 29 , 9 , 38 
GUATEMALA , 0 , 2 , 2 
GUINEA ECUATORIAL , 3 , 2 , 5 
HAITÍ , 1 , 0 , 1 
HOLANDA (PAISES BAJO , 27 , 13 , 40 
HONDURAS , 2 , 1 , 3 
HUNGRIA , 14 , 3 , 17 
INDIA , 0 , 1 , 1 
IRAK , 0 , 1 , 1 
IRLANDA (EIRE) , 22 , 9 , 31 
IRÁN , 1 , 2 , 3 
ISRAEL , 0 , 1 , 1 
ITALIA , 416 , 65 , 481 
JAMAICA , 0 , 1 , 1 
JAPÓN , 2 , 5 , 7 
JORDANIA , 4 , 6 , 10 
KENIA , 0 , 1 , 1 
LITUANIA , 0 , 3 , 3 
LÍBANO , 4 , 0 , 4 
MALTA , 0 , 1 , 1 
MARRUECOS , 410 , 599 , 1009 
MOLDAVIA , 1 , 0 , 1 
MÉXICO , 37 , 42 , 79 
NEPAL , 1 , 1 , 2 
NICARAGUA , 0 , 2 , 2 
NORUEGA , 21 , 5 , 26 
NUEVA ZELANDA , 1 , 0 , 1 
PAKISTÁN , 0 , 1 , 1 
PANAMÁ , 2 , 1 , 3 
PARAGUAY , 0 , 1 , 1 
PERÚ , 5 , 10 , 15 
POLONIA , 105 , 57 , 162 
PORTUGAL , 46 , 5 , 51 PUERTO RICO , 1 , 0 , 1 
REINO UNIDO , 161 , 50 , 211 
REP. DOMINICANA , 1 , 2 , 3 
REPÚBLICA CHECA , 29 , 3 , 32 
RUMANÍA , 18 , 29 , 47 
RUSIA , 14 , 30 , 44 
SENEGAL , 1 , 0 , 1 
SIRIA , 6 , 3 , 9 
SUECIA , 14 , 13 , 27 
SUIZA , 21 , 8 , 29 
THAILANDIA , 1 , 0 , 1 
TOGO , 1 , 0 , 1 
TURQUÍA , 1 , 1 , 2 
TÚNEZ , 0 , 3 , 3 
UCRANIA , 2 , 8 , 10 
URUGUAY , 1 , 1 , 2 
VENEZUELA , 5 , 4 , 9 
VIETNAM , 0 , 1 , 1 
YUGOSLAVIA , 1 , 1 , 2 
SIN ESPECIFICAR , 55 , 277 , 332 
