CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5599 , 6832 , 12431 
SEGUNDO , 5044 , 7099 , 12143 
TERCERO , 5967 , 8055 , 14022 
CUARTO , 3744 , 4676 , 8420 
QUINTO , 4470 , 4878 , 9348 
SEXTO , 169 , 287 , 456 
