del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 746 , , , , , 
SEGUNDO , 1376 , 510 , , , , 
TERCERO , 1982 , 2347 , 744 , , , 
CUARTO , 1006 , 1090 , 1468 , 437 , , 
QUINTO , 1204 , 1021 , 1236 , 1852 , 728 , 
SEXTO , 0 , 0 , 21 , 31 , 41 , 30 
