,,"0-9 (%)","10-19 (%)","20-29 (%)","30-39 (%)","40-49 (%)"
"PAS Func.","Hombre","4.85","6.28","6.66","2.14","0.33"
"PAS Func.","Mujer","7.85","4.33","6.47","4.52","1.62"
"PAS Laboral","Hombre","8.46","6.37","7.80","1.76","0.05"
"PAS Laboral","Mujer","11.13","10.84","6.51","1.81","0.24"
