"Colectivo","Género","0-1","2-3","4-5","6-7","8-9"
"PAS Func.","Hombre","0.95","1.70","2.27","0.38","0.57"
"PAS Func.","Mujer","1.70","2.84","2.84","0.76","0.82"
"PAS Laboral","Hombre","2.96","2.40","3.97","2.71","1.39"
"PAS Laboral","Mujer","3.78","3.22","3.28","3.15","3.40"
