,,"0-9 (%)","10-19 (%)","20-29 (%)","30-39 (%)","40-49 (%)"
"PAS Func.","Hombre","10.77","13.94","14.78","4.75","0.74"
"PAS Func.","Mujer","17.42","9.61","14.36","10.03","3.59"
"PAS Laboral","Hombre","15.40","11.59","14.19","3.20","0.09"
"PAS Laboral","Mujer","20.24","19.72","11.85","3.29","0.43"
