"Colectivo","Género","0-1","2-3","4-5","6-7","8-9"
"PAS Func.","Hombre","2,10","3,78","5,03","0,84","1,26"
"PAS Func.","Mujer","3,78","6,29","6,29","1,68","1,82"
"PAS Laboral","Hombre","6,57","5,31","8,81","6,01","3,08"
"PAS Laboral","Mujer","8,39","7,13","7,27","6,99","7,55"
"PDI Contrat.","Hombre","4,59","8,04","14,81","14,47","6,89"
"PDI Contrat.","Mujer","3,10","4,13","9,64","9,41","3,56"
"PDI Func.","Hombre","0,57","0,23","1,61","5,40","4,59"
"PDI Func.","Mujer","0,92","0,00","1,38","2,64","4,02"
