"Colectivo","Género","0-1","2-3","4-5","6-7","8-9"
"PAS Func.","Hombre","6,38","11,49","15,32","2,55","3,83"
"PAS Func.","Mujer","11,49","19,15","19,15","5,11","5,53"
"PAS Laboral","Hombre","9,79","7,92","13,13","8,96","4,58"
"PAS Laboral","Mujer","12,50","10,63","10,83","10,42","11,25"
"PDI Contrat.","Hombre","5,84","10,22","18,83","18,39","8,76"
"PDI Contrat.","Mujer","3,94","5,26","12,26","11,97","4,53"
"PDI Func.","Hombre","2,69","1,08","7,53","25,27","21,51"
"PDI Func.","Mujer","4,30","0,00","6,45","12,37","18,82"
