"Colectivo","Género","0-1","2-3","4-5","6-7","8-9"
"PDI Contrat.","Hombre","5.84","10.22","18.83","18.39","8.76"
"PDI Contrat.","Mujer","3.94","5.26","12.26","11.97","4.53"
"PDI Func.","Hombre","2.69","1.08","7.53","25.27","21.51"
"PDI Func.","Mujer","4.30","0.00","6.45","12.37","18.82"
