del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 630 , , , , , 
SEGUNDO , 1329 , 386 , , , , 
TERCERO , 1393 , 2210 , 914 , , , 
CUARTO , 156 , 351 , 598 , 396 , , 
QUINTO , 337 , 377 , 801 , 1828 , 716 , 
SEXTO , 1 , 12 , 19 , 37 , 59 , 11 
