CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1253 , , , , , 
SEGUNDO , 3128 , 889 , , , , 
TERCERO , 2815 , 4454 , 2067 , , , 
CUARTO , 369 , 830 , 1427 , 881 , , 
QUINTO , 659 , 788 , 1686 , 3665 , 1487 , 
SEXTO , 3 , 30 , 35 , 51 , 88 , 19 
