TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 6451 
MEC. COLABORACION , 0 
MEC. PROMOCION EDUCATIVA , 0 
INST. ESPANOL DE EMIGRACION , 9 
MINISTERIO ASUNTOS EXTERIORES , 4 
JUNTA DE ANDALUCIA , 0 
OTRAS COMUNIDADES AUTONOMAS , 6 
SIN ESPECIFICAR , 4773 
UNIVERSIDAD DE GRANADA , 0 
TOTAL BECARIOS , 11243 
