CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5179 , 6236 , 11415 
SEGUNDO , 5578 , 7683 , 13261 
TERCERO , 6636 , 8347 , 14983 
CUARTO , 3366 , 4647 , 8013 
QUINTO , 4838 , 5833 , 10671 
SEXTO , 147 , 168 , 315 
