del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 6236 , , , , , 
SEGUNDO , 5976 , 1707 , , , , 
TERCERO , 3766 , 5786 , 1951 , , , 
CUARTO , 1006 , 1690 , 2820 , 1391 , , 
QUINTO , 650 , 913 , 1931 , 3833 , 1461 , 
SEXTO , 4 , 26 , 24 , 26 , 66 , 90 
