, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4549,630 , 5613,623 , 10162,1253 
SEGUNDO , 3863,1715 , 5381,2302 , 9244,4017 
TERCERO , 3254,3382 , 4676,3671 , 7930,7053 
CUARTO , 2274,1092 , 3208,1439 , 5482,2531 
QUINTO , 2091,2747 , 2998,2835 , 5089,5582 
SEXTO , 69,78 , 124,44 , 193,122 
