Categoría,Forma de Acceso,Grupo/Subgrupo,Cupo General,Reserva Discap.,Total Plazas
Escala Auxiliar Administrativa,Concurso-Oposición Libre,C2,12,3,15
"Escala de Ayudantes de Archivos, Bibliotecas y Museos",Concurso-Oposición Libre,A2,3,0,3
Escala de Gestión Informática,Concurso-Oposición Libre,A2,4,1,5
Escala Administrativa,Concurso-Oposición Promoción Interna,C1,60,5,65
Escala Técnica de Informática,Concurso-Oposición Promoción Interna,A1,8,1,9
