"-","Total ","Hombres ","Mujeres "
"No presentados ","16,00","8,00","8,00"
"Aptos ","239,00","127,00","112,00"
"No aptos ","140,00","81,00","59,00"
"Matriculados ","395,00","216,00","179,00"
