"-","Total ","Hombres ","Mujeres "
"Presentados Fase General ","5141 ","2264 ","2877 "
"Aptos Fase General ","4641 ","2068 ","2573 "
"No Aptos Fase General ","500 ","196 ","304 "
"Presentados  Fase Específica ","5931 ","2630 ","3301 "
"Total Matriculados ","6166 ","2748 ","3418 "
