, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4472,784 , 6678,743 , 11150,1527 
SEGUNDO , 3312,2038 , 4717,2798 , 8029,4836 
TERCERO , 3305,3255 , 5214,3437 , 8519,6692 
CUARTO , 2396,1268 , 3478,2007 , 5874,3275 
QUINTO , 1685,2743 , 2167,2774 , 3852,5517 
SEXTO , 86,70 , 157,67 , 243,137 
