TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 5387 
MEC. COLABORACION , 0 
MEC. PROMOCION EDUCATIVA , 0 
MINIST."TRABAJO,ASUNTOS" SOCIALS , 32 
MINISTERIO ASUNTOS EXTERIORES , 3 
JUNTA DE ANDALUCIA , 0 
OTRAS COMUNIDADES AUTONOMAS , 0 
SIN ESPECIFICAR , 5889 
UNIVERSIDAD DE GRANADA , 6 
GOBIERNO VASCO , 11 
PRECIOS PUBLICOS , 51 
TOTAL BECARIOS , 11379 
