LUGAR DE RESIDENCIA , VARONES , MUJERES , TOTALES 
ALAVA , 16 , 35 , 51 
ALBACETE , 45 , 73 , 118 
ALICANTE , 120 , 160 , 280 
ALMERIA , 1235 , 1591 , 2826 
AVILA , 4 , 13 , 17 
BADAJOZ , 95 , 150 , 245 
BALEARES , 75 , 126 , 201 
BARCELONA , 282 , 459 , 741 
BURGOS , 24 , 26 , 50 
CACERES , 26 , 35 , 61 
CADIZ , 1053 , 1426 , 2479 
CANTABRIA , 9 , 33 , 42 
CASTELLON , 10 , 27 , 37 
CEUTA , 345 , 475 , 820 
CIUDAD REAL , 155 , 292 , 447 
CORDOBA , 824 , 1349 , 2173 
"CORUÑA, LA" , 14 , 25 , 39 
CUENCA , 6 , 11 , 17 
EXTRANJERO , 349 , 447 , 796 
GERONA , 31 , 37 , 68 
GRANADA , 10780 , 14066 , 24846 
GUADALAJARA , 9 , 13 , 22 
GUIPUZCUA , 39 , 64 , 103 
HUELVA , 129 , 202 , 331 
HUESCA , 11 , 15 , 26 
JAEN , 2031 , 2710 , 4741 
LA RIOJA , 10 , 35 , 45 
LEON , 22 , 28 , 50 
LERIDA , 15 , 23 , 38 
LUGO , 4 , 7 , 11 
MADRID , 304 , 390 , 694 
MALAGA , 1299 , 1776 , 3075 
MELILLA , 369 , 507 , 876 
MURCIA , 310 , 420 , 730 
NAVARRA , 18 , 43 , 61 
ORENSE , 2 , 6 , 8 
OVIEDO , 30 , 50 , 80 
PALENCIA , 3 , 7 , 10 
"PALMAS,LAS" , 78 , 160 , 238 
PONTEVEDRA , 9 , 26 , 35 
SALAMANCA , 18 , 27 , 45 
SEGOVIA , 17 , 23 , 40 
SEVILLA , 360 , 454 , 814 
SORIA , 2 , 11 , 13 
STA. CRUZ DE TENERIF , 59 , 69 , 128 
TARRAGONA , 17 , 29 , 46 
TERUEL , 5 , 10 , 15 
TOLEDO , 35 , 40 , 75 
VALENCIA , 51 , 91 , 142 
VALLADOLID , 44 , 61 , 105 
VIZCAYA , 60 , 87 , 147 
ZAMORA , 2 , 9 , 11 
ZARAGOZA , 20 , 38 , 58 
ALBANIA , 0 , 3 , 3 
ALEMANIA , 39 , 43 , 82 
ANDORRA , 1 , 2 , 3 
ARGELIA , 1 , 0 , 1 
ARGENTINA , 1 , 4 , 5 
AUSTRALIA , 0 , 1 , 1 
AUSTRIA , 1 , 0 , 1 
BELGICA , 2 , 4 , 6 
BRASIL , 1 , 3 , 4 
BULGARIA , 3 , 0 , 3 
CHECOSLOVAQUIA , 2 , 0 , 2 
CHILE , 2 , 0 , 2 
COLOMBIA , 4 , 1 , 5 COSTA DE MARFIL , 0 , 1 , 1 
CUBA , 1 , 2 , 3 
DINAMARCA , 1 , 0 , 1 
EE. UU. DE AMERICA , 2 , 4 , 6 
EL SALVADOR , 1 , 0 , 1 
EMIRATOS ARABES , 1 , 0 , 1 
ESLOVAQUIA , 1 , 1 , 2 
ESPAÑA , 622 , 433 , 1055 
FRANCIA , 21 , 38 , 59 
GUINEA ECUATORIAL , 4 , 0 , 4 
HOLANDA (PAISES BAJO , 4 , 2 , 6 
HONDURAS , 0 , 1 , 1 
HONG-KONG , 0 , 1 , 1 
IRAN , 1 , 1 , 2 
ISRAEL , 2 , 0 , 2 
ITALIA , 1 , 1 , 2 
JAPON , 2 , 1 , 3 
JORDANIA , 3 , 0 , 3 
KUWAIT , 1 , 0 , 1 
LIBANO , 7 , 0 , 7 
LUXEMBURGO , 2 , 1 , 3 
MARRUECOS , 129 , 107 , 236 
MEXICO , 0 , 1 , 1 
NORUEGA , 0 , 2 , 2 
PERU , 3 , 0 , 3 
POLONIA , 0 , 2 , 2 
REINO UNIDO , 4 , 10 , 14 
REP. DOMINICANA , 1 , 1 , 2 
REPUBLICA CHECA , 0 , 2 , 2 
RUMANIA , 0 , 1 , 1 
SAHARA , 0 , 2 , 2 
SIRIA , 4 , 0 , 4 
SOMALIA , 1 , 0 , 1 
SUECIA , 0 , 1 , 1 
SUIZA , 13 , 17 , 30 
TUNEZ , 0 , 1 , 1 
U. R. S. S. , 0 , 1 , 1 
VENEZUELA , 3 , 1 , 4 
VIETNAM , 1 , 0 , 1 
ZAIRE , 0 , 2 , 2 
SIN ESPECIFICAR , 3641 , 5251 , 8892 
