CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 743 , , , , , 
SEGUNDO , 2217 , 581 , , , , 
TERCERO , 1655 , 1960 , 1037 , , , 
CUARTO , 498 , 407 , 1047 , 788 , , 
QUINTO , 209 , 303 , 1132 , 1860 , 690 , 
SEXTO , 3 , 17 , 20 , 24 , 43 , 16 
