CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5256 , 7421 , 12677 
SEGUNDO , 5350 , 7515 , 12865 
TERCERO , 6560 , 8651 , 15211 
CUARTO , 3664 , 5485 , 9149 
QUINTO , 4428 , 4941 , 9369 
SEXTO , 156 , 224 , 380 
