CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5337 , 7699 , 13036 
SEGUNDO , 5482 , 8239 , 13721 
TERCERO , 6094 , 7332 , 13426 
CUARTO , 3141 , 4249 , 7390 
QUINTO , 4853 , 6031 , 10884 
SEXTO , 156 , 223 , 379 
