del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 717 , , , , , 
SEGUNDO , 1705 , 370 , , , , 
TERCERO , 1652 , 2317 , 729 , , , 
CUARTO , 435 , 398 , 649 , 360 , , 
QUINTO , 465 , 567 , 941 , 1823 , 770 , 
SEXTO , 5 , 13 , 18 , 24 , 43 , 11 
