TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 5151 
MEC. COLABORACION , 0 
MEC. PROMOCION EDUCATIVA , 0 
MINIST."TRABAJO,ASUNTOS" SOCIALS , 32 
MINISTERIO ASUNTOS EXTERIORES , 2 
JUNTA DE ANDALUCIA , 0 
OTRAS COMUNIDADES AUTONOMAS , 0 
SIN ESPECIFICAR , 6496 
UNIVERSIDAD DE GRANADA , 19 
GOBIERNO VASCO , 10 
PRECIOS PUBLICOS , 42 
TOTAL BECARIOS , 11752 
