CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 7699 , , , , , 
SEGUNDO , 6394 , 1845 , , , , 
TERCERO , 3917 , 5017 , 1667 , , , 
CUARTO , 1638 , 1605 , 2255 , 1045 , , 
QUINTO , 1435 , 1523 , 2119 , 4096 , 1297 , 
SEXTO , 7 , 35 , 46 , 47 , 104 , 101 
