, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4620,717 , 7004,695 , 11624,1412 
SEGUNDO , 3407,2075 , 5611,2628 , 9018,4703 
TERCERO , 2753,3341 , 3804,3528 , 6557,6869 
CUARTO , 1902,1239 , 2613,1636 , 4515,2875 
QUINTO , 2016,2837 , 3242,2789 , 5258,5626 
SEXTO , 89,67 , 167,56 , 256,123 
