CÓDIGO,TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA
414,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),"85,48","91,45","16,9",
433,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),"81,31","90,14","13,33","98,77"
457,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),78,"87,3","18,46","94,05"
458,GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),"86,21","92,79","8,33","96,17"
496,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),"47,59","68,52","11,11",
507,GRADUADO/A EN ENFERMERÍA (MELILLA),"89,71","92,47","12,7","96,52"
514,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),"79,83","85,78",20,
533,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),"61,18","75,96","47,92","90,62"
535,DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),"56,67","91,07",,
536,DIPLOMATURA DE RELACIONES LABORALES (MELILLA),100,100,,
537,DIPLOMADO EN RELACIONES LABORALES (MELILLA),,,,
538,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"80,33","80,33",,
539,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),"68,17","85,55",30,"97,56"
557,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),"78,5","85,13","22,73","95,15"
558,GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),"86,93","92,75","24,24","97,13"
559,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"75,65","87,28",40,"80,81"
