Art.,Concepto,Subconcepto,Denominación,Importe
52 Intereses de depósitos,520 Intereses de cuentas bancarias,52000,De Banco Mare Nostrum,200000
52 Intereses de depósitos,520 Intereses de cuentas bancarias,52001,De otras cuentas y depósitos,300000
54 Rentas de bienes inmuebles,541 Alquiler y productos de inmuebles,54101,Instalaciones deportivas,500000
54 Rentas de bienes inmuebles,541 Alquiler y productos de inmuebles,54102,Aulas y otros recintos universitarios,100000
55 Producto de concesiones y aprov.especiales,551 De concesiones administrativas,-,-,400000
59 Otros ingresos patrimoniales,591 Explotación de patentes,59100,Licencias y explotación de patentes,6000
