del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1034 , , , , , 
SEGUNDO , 2394 , 1004 , , , , 
TERCERO , 3309 , 4587 , 1522 , , , 
CUARTO , 1621 , 2097 , 2717 , 703 , , 
QUINTO , 1625 , 1990 , 2623 , 3886 , 1147 , 
SEXTO , 12 , 25 , 32 , 87 , 120 , 32 
