del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 10205 , , , , , 
SEGUNDO , 8726 , 3014 , , , , 
TERCERO , 8010 , 10826 , 2839 , , , 
CUARTO , 3564 , 4532 , 5766 , 1403 , , 
QUINTO , 3353 , 4010 , 5259 , 7673 , 1483 , 
SEXTO , 54 , 110 , 147 , 226 , 381 , 179 
