, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4017,503 , 5154,531 , 9171,1034 
SEGUNDO , 3331,1546 , 5011,1852 , 8342,3398 
TERCERO , 3151,2996 , 5097,3542 , 8248,6538 
CUARTO , 2203,1647 , 2430,2265 , 4633,3912 
QUINTO , 2454,2665 , 2286,2853 , 4740,5518 
SEXTO , 160,73 , 268,96 , 428,169 
