CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 4520 , , , , , 
SEGUNDO , 3735 , 1142 , , , , 
TERCERO , 3424 , 4601 , 1090 , , , 
CUARTO , 1663 , 2082 , 2582 , 582 , , 
QUINTO , 1523 , 1870 , 2610 , 3865 , 722 , 
SEXTO , 20 , 46 , 64 , 104 , 163 , 54 
