CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 0 , 0 , 0 
SEGUNDO , 2 , 1 , 3 
TERCERO , 9 , 2 , 11 
CUARTO , 0 , 0 , 0 
QUINTO , 1 , 2 , 3 
SEXTO , 0 , 0 , 0 
