, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,0 , 0,0 , 0,0 
SEGUNDO , 1,1 , 0,1 , 1,2 
TERCERO , 1,8 , 0,2 , 1,10 
CUARTO , 0,0 , 0,0 , 0,0 
QUINTO , 1,0 , 0,2 , 1,2 
SEXTO , 0,0 , 0,0 , 0,0 
