Tipo,Género,0-9 (%),10-19 (%),20-29 (%),30-39 (%),40-49 (%)
PAS Func.,Hombre,"2,47","1,29","2,97","0,67","0,12"
PAS Func.,Mujer,"4,09","0,65","2,78","1,08","0,82"
PAS Laboral,Hombre,"4,16","2,1","3,92","0,81","0,12"
PAS Laboral,Mujer,"3,88","4,84","2,59","0,6","0,27"
PDI Contrat.,Hombre,"6,78","4,9","2,1","0,24","0,26"
PDI Contrat.,Mujer,"5,51","2,89","1,39","0,12","0,02"
PDI Func.,Hombre,"1,36","5,15","9,19","5,81","1,8"
PDI Func.,Mujer,"0,76","3,66","4,76","2,63","0,45"
