CAJAS HABILITADAS
Caja Habilitada Central (Servicio de Gestión Económico-Financiero)
Caja Habilitada Facultad de Filosofía y Letras
Caja Habilitada Facultad de Derecho
Caja Habilitada Facultad de Ciencias
Caja Habilitada Facultad de Medicina
Caja Habilitada Facultad de Farmacia
Caja Habilitada Facultad de Bellas Artes
Caja Habilitada Facultad de Odontología
Caja Habilitada Facultad de Ciencias de la Educación
Caja Habilitada Facultad de Ciencias Políticas y Sociología
"Caja Habilitada ETS Ingenieros de Caminos, Canales y Puertos"
Caja Habilitada Facultad de Ciencias del Deporte
Caja Habilitada Facultad de Traducción e Interpretación
Caja Habilitada del Campus de Melilla
Caja Habilitada Facultad de Psicología
Caja Habilitada Facultad de Ciencias Económicas y Empresariales
Caja Habilitada ETS Ingeniería de la Edificación
Caja Habilitada Facultad de Ciencias de la Salud
Caja Habilitada Facultad de Trabajo Social
Caja Habilitada ETS de Arquitectura
Caja Habilitada ETS de Ingenierías Informática y Telecomunicaciones
Caja Habilitada Vicerrectorado de Relaciones Internacionales
Caja Habilitada Centro de Actividades Deportivas
Caja Habilitada Facultad de Comunicación y Documentación
Caja Habilitada Facultad de Ciencias del Trabajo
Caja Habilitada Escuela Internacional de Posgrado
Caja Habilitada Campus de Ceuta
Caja Habilitada Centro Mediterráneo
Caja Habilitada Servicio de Contratación
Caja Habilitada Residencias y Colegios Mayores
Caja Habilitada Gabinete de Acción Social
