Código,Departamento,Sección departamento,T.C. (PDI),T.P. (PDI),Total (PDI),ETC (PDI),Tr. Doc. (PDI),Tr. Inv. (PDI),Tr. Aut. (PDI)
305034,FARMACIA Y TECNOLOGÍA FARMACÉUTICA,"HISTORIA DE LA FARMACIA, LEGISLACIÓN Y GESTIÓN FARM ",5,0,5,5,,21,49
305035,FARMACOLOGÍA,FARMACOLOGÍA ,23,3,26,"24,13",47,109,198
305036,LENGUA ESPAÑOLA,LENGUA ESPAÑOLA ,18,0,18,18,31,67,145
305037,FILOLOGÍA FRANCESA,FILOLOGÍA FRANCESA ,20,0,20,20,14,53,132
305038,FILOLOGÍA GRIEGA,FILOLOGÍA ESLAVA ,17,0,17,17,6,14,61
305038,FILOLOGÍA GRIEGA,FILOLOGÍA GRIEGA ,1,0,1,1,0,0,0
305038,FILOLOGÍA GRIEGA,FILOLOGÍA GRIEGA ,10,0,10,10,20,47,91
305039,FILOLOGÍA INGLESA,FILOLOGÍA ALEMANA  ,6,2,8,"7,13",6,11,31
305039,FILOLOGÍA INGLESA,FILOLOGÍA INGLESA,48,2,50,"49,63",42,140,303
305040,FILOLOGÍA LATINA,FILOLOGÍA LATINA ,13,0,13,"12,75",41,64,135
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA CATALANA ,2,0,2,2,2,5,9
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ITALIANA ,8,0,8,8,6,20,47
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍA ROMÁNICA ,4,1,5,"4,25",9,14,37
305041,"FILOLOGÍAS ROMÁNICA, ITALIANA, GALLEGO-PORTUGUESA Y CATALANA",FILOLOGÍAS GALLEGA Y PORTUGUESA ,5,0,5,5,9,12,23
305042,FILOSOFÍA I,ESTÉTICA Y TEORÍA DE LAS ARTES ,3,0,3,3,,3,9
305042,FILOSOFÍA I,FILOSOFÍA MORAL ,3,1,4,"3,25",6,13,21
305042,FILOSOFÍA I,LÓGICA Y FILOSOFÍA DE LA CIENCIA ,9,0,9,9,23,40,68
305043,"FILOSOFÍA DEL DERECHO, MORAL Y POLÍTICA",FILOSOFÍA DEL DERECHO ,9,0,9,9,22,43,82
305044,FÍSICA APLICADA,FÍSICA APLICADA ,41,1,42,"41,75",112,165,288
305045,"FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR","FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR ",16,0,16,16,60,74,127
305046,FISIOLOGÍA,FISIOLOGÍA ,30,6,36,33,93,137,240
305047,GEODINÁMICA,GEODINÁMICA EXTERNA ,9,0,9,9,19,32,72
305047,GEODINÁMICA,GEODINÁMICA INTERNA ,12,0,12,12,43,51,89
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,ANÁLISIS GEOGRÁFICO REGIONAL ,5,0,5,5,3,19,38
305048,ANÁLISIS GEOGRÁFICO REGIONAL Y GEOGRAFÍA FÍSICA,GEOGRAFÍA FÍSICA ,6,0,6,6,3,20,42
305049,GEOGRAFÍA HUMANA,GEOGRAFÍA HUMANA ,9,2,11,"10,5",10,30,73
305050,GEOMETRÍA Y TOPOLOGÍA,GEOMETRÍA Y TOPOLOGÍA ,24,0,24,24,66,91,173
305051,HISTORIA DEL ARTE,HISTORIA DEL ARTE ,37,0,37,37,75,131,269
305052,HISTORIA CONTEMPORÁNEA,HISTORIA CONTEMPORÁNEA ,13,0,13,13,31,53,101
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS ,7,0,7,7,7,31,66
305053,HISTORIA MEDIEVAL Y CIENCIAS Y TÉCNICAS HISTORIOGRÁFICAS,HISTORIA MEDIEVAL ,10,0,10,10,22,40,74
305054,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA DE AMÉRICA ,4,0,4,4,10,20,38
305054,HISTORIA MODERNA Y DE AMÉRICA,HISTORIA MODERNA ,9,0,9,9,18,33,66
305055,INGENIERÍA QUÍMICA,INGENIERÍA QUÍMICA ,25,4,29,"27,75",42,62,129
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES ,30,3,33,"31,13",54,91,174
305056,ARQUITECTURA Y TECNOLOGÍA DE COMPUTADORES,INGENIERÍA DE SISTEMAS Y AUTOMÁTICA ,1,0,1,1,2,6,12
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,LINGÜÍSTICA GENERAL ,10,0,10,10,8,27,63
305057,LINGÜÍSTICA GENERAL Y TEORÍA DE LA LITERATURA,TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA ,12,0,12,"11,75",24,52,102
305058,MATEMÁTICA APLICADA,MATEMÁTICA APLICADA ,49,0,49,49,85,168,342
305059,MEDICINA,DERMATOLOGÍA ,6,4,10,"7,5",10,34,70
305059,MEDICINA,MEDICINA ,20,56,76,"41,38",47,97,219
305061,MICROBIOLOGÍA,MICROBIOLOGÍA ,37,1,38,"37,38",118,169,298
305062,MINERALOGÍA Y PETROLOGÍA,CRISTALOGRAFÍA Y MINERALOGÍA ,16,0,16,16,59,78,140
305062,MINERALOGÍA Y PETROLOGÍA,PETROLOGÍA Y GEOQUÍMICA ,8,0,8,8,23,32,59
305063,NUTRICIÓN Y BROMATOLOGÍA,NUTRICIÓN Y BROMATOLOGÍA ,19,0,19,19,45,83,154
305064,OBSTETRICIA Y GINECOLOGÍA,OBSTETRICIA Y GINECOLOGÍA ,5,14,19,"12,13",4,17,37
305065,PARASITOLOGÍA,PARASITOLOGÍA ,15,0,15,15,42,76,150
305066,PEDAGOGÍA,TEORÍA E HISTORIA DE LA EDUCACIÓN ,27,4,31,"29,5",26,62,178
305067,"PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGICO","PERSONALIDAD, EVALUACIÓN Y TRATAMIENTO PSICOLÓGIC ",38,1,39,"38,75",76,110,239
305068,PREHISTORIA Y ARQUEOLOGÍA,ARQUEOLOGÍA ,5,0,5,5,12,16,37
305068,PREHISTORIA Y ARQUEOLOGÍA,PREHISTORIA ,17,0,17,17,44,71,143
305069,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN,PSICOLOGÍA EVOLUTIVA Y DE LA EDUCACIÓN ,49,6,55,"52,75",29,96,303
305070,PSICOLOGÍA EXPERIMENTAL,PSICOLOGÍA EXPERIMENTAL ,2,0,2,2,0,0,0
305070,PSICOLOGÍA EXPERIMENTAL,PSICOLOGÍA EXPERIMENTAL ,31,0,31,31,67,94,177
305071,QUÍMICA ANALÍTICA,QUÍMICA ANALÍTICA ,29,0,29,29,70,117,218
305072,QUÍMICA FÍSICA,QUÍMICA FÍSICA ,19,0,19,19,52,82,145
305073,QUÍMICA INORGÁNICA,QUÍMICA INORGÁNICA ,33,0,33,33,95,148,266
305074,QUÍMICA ORGÁNICA,QUÍMICA ORGÁNICA ,19,0,19,19,59,81,154
305075,RADIOLOGÍA Y MEDICINA FÍSICA,RADIOLOGÍA Y MEDICINA FÍSICA ,9,13,22,"14,63",19,43,82
305076,SOCIOLOGÍA,SOCIOLOGÍA ,37,10,47,"43,5",21,95,214
305077,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL,CIENCIAS DE LA COMPUTACIÓN E INTELIGENCIA ARTIFICIAL ,66,3,69,"68,25",146,201,405
305078,DERECHO PENAL,DERECHO PENAL ,20,1,21,"20,38",39,68,131
305079,LENGUAJES Y SISTEMAS INFORMÁTICOS,LENGUAJES Y SISTEMAS INFORMÁTICOS ,50,3,53,"51,75",34,121,338
305080,FÍSICA TEÓRICA Y DEL COSMOS,ASTRONOMÍA Y ASTROFÍSICA ,10,0,10,10,24,33,47
305080,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA DE LA TIERRA ,7,0,7,7,20,34,58
305080,FÍSICA TEÓRICA Y DEL COSMOS,FÍSICA TEÓRICA ,15,0,15,15,43,54,76
305081,INFORMACIÓN Y DOCUMENTACIÓN,BIBLIOTECONOMÍA Y DOCUMENTACIÓN ,27,1,28,"27,75",42,109,221
305081,INFORMACIÓN Y DOCUMENTACIÓN,COMUNICACIÓN AUDIOVISUAL Y PUBLICIDAD ,3,7,10,7,2,3,10
305082,PINTURA,PINTURA ,33,0,33,33,29,98,222
305083,ESCULTURA,ESCULTURA ,24,1,25,"24,38",6,42,129
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,ELECTROMAGNETISMO ,8,0,8,8,18,30,57
305084,ELECTROMAGNETISMO Y FÍSICA DE LA MATERIA,FÍSICA DE LA MATERIA CONDENSADA ,7,0,7,7,22,28,45
305085,EDUCACIÓN FÍSICA Y DEPORTIVA,EDUCACIÓN FÍSICA Y DEPORTIVA ,53,7,60,"57,25",32,103,304
305086,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN,CIENCIA POLÍTICA Y DE LA ADMINISTRACIÓN ,27,6,33,"31,13",25,65,144
305087,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERNACIONALES,DERECHO INTERNACIONAL PÚBLICO Y RELACIONES INTERN ,15,0,15,15,22,44,93
305088,DERECHO DEL TRABAJO,DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL ,26,7,33,"30,5",29,73,164
305089,GENÉTICA,GENÉTICA ,18,1,19,"18,75",44,58,108
305090,HISTORIA ANTIGUA,HISTORIA ANTIGUA ,11,0,11,11,32,60,116
