, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,0 , 0,0 , 0,0 
SEGUNDO , 0,2 , 0,1 , 0,3 
TERCERO , 0,6 , 0,0 , 0,6 
CUARTO , 0,0 , 0,0 , 0,0 
QUINTO , 0,0 , 0,0 , 0,0 
SEXTO , 0,0 , 0,0 , 0,0 
