CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 0 , 0 , 0 
SEGUNDO , 2 , 1 , 3 
TERCERO , 6 , 0 , 6 
CUARTO , 0 , 0 , 0 
QUINTO , 0 , 0 , 0 
SEXTO , 0 , 0 , 0 
