CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 475 , , , , , 
SEGUNDO , 1132 , 467 , , , , 
TERCERO , 1618 , 2209 , 662 , , , 
CUARTO , 755 , 971 , 1201 , 298 , , 
QUINTO , 776 , 1034 , 1557 , 2086 , 636 , 
SEXTO , 12 , 34 , 33 , 46 , 75 , 19 
