LUGAR DE RESIDENCIA , VARONES , MUJERES , TOTALES 
ALBACETE , 55 , 128 , 183 
ALICANTE , 190 , 386 , 576 
ALMERÍA , 1449 , 1945 , 3394 
ASTURIAS , 35 , 47 , 82 
BADAJOZ , 147 , 218 , 365 
BALEARES , 99 , 208 , 307 
BARCELONA , 285 , 448 , 733 
BURGOS , 20 , 26 , 46 
CANTABRIA , 14 , 24 , 38 
CASTELLÓN , 14 , 21 , 35 
CEUTA , 387 , 599 , 986 
CIUDAD REAL , 216 , 392 , 608 
"CORUÑA, LA" , 17 , 40 , 57 
CUENCA , 14 , 23 , 37 
CÁCERES , 47 , 73 , 120 
CÁDIZ , 1069 , 1283 , 2352 
CÓRDOBA , 1100 , 1543 , 2643 
EXTRANJERO , 360 , 501 , 861 
GERONA , 38 , 64 , 102 
GRANADA , 10551 , 14163 , 24714 
GUADALAJARA , 10 , 11 , 21 
GUIPUZCUA , 26 , 41 , 67 
HUELVA , 156 , 196 , 352 
HUESCA , 11 , 27 , 38 
JAÉN , 2015 , 2741 , 4756 
LA RIOJA , 11 , 16 , 27 
LERIDA , 20 , 26 , 46 
LEÓN , 19 , 30 , 49 
LUGO , 4 , 6 , 10 
MADRID , 362 , 489 , 851 
MELILLA , 378 , 554 , 932 
MURCIA , 368 , 580 , 948 
MÁLAGA , 1673 , 1882 , 3555 
NAVARRA , 28 , 60 , 88 
ORENSE , 8 , 11 , 19 
PALENCIA , 9 , 7 , 16 
"PALMAS,LAS" , 212 , 319 , 531 
PONTEVEDRA , 18 , 37 , 55 
SALAMANCA , 16 , 18 , 34 
SEGOVIA , 4 , 8 , 12 
SEVILLA , 332 , 456 , 788 
SORIA , 5 , 17 , 22 
STA. CRUZ DE TENERIF , 92 , 163 , 255 
TARRAGONA , 24 , 53 , 77 
TERUEL , 9 , 5 , 14 
TOLEDO , 29 , 44 , 73 
VALENCIA , 69 , 111 , 180 
VALLADOLID , 24 , 20 , 44 
VIZCAYA , 52 , 62 , 114 
ZAMORA , 8 , 9 , 17 
ZARAGOZA , 38 , 49 , 87 
ÁLAVA , 23 , 36 , 59 
ÁVILA , 6 , 8 , 14 
AFGANISTÁN , 0 , 1 , 1 
ALBANIA , 1 , 0 , 1 
ALEMANIA , 246 , 62 , 308 
ANDORRA , 3 , 2 , 5 
ARGELIA , 3 , 0 , 3 
ARGENTINA , 13 , 26 , 39 
AUSTRALIA , 11 , 1 , 12 
AUSTRIA , 25 , 10 , 35 
BENIN-DAHAMEY , 0 , 1 , 1 
BOSNIA Y HERZEGOVINA , 1 , 1 , 2 
BRASIL , 21 , 5 , 26 
BULGARIA , 8 , 2 , 10 
BÉLGICA , 77 , 10 , 87 CANADÁ , 13 , 3 , 16 
CHECOSLOVAQUIA , 11 , 7 , 18 
CHILE , 10 , 4 , 14 
CHINA (REP. POPULAR) , 0 , 2 , 2 
CHIPRE , 7 , 3 , 10 
COLOMBIA , 8 , 9 , 17 
COREA DEL SUR , 1 , 0 , 1 
COSTA DE MARFIL , 1 , 0 , 1 
CUBA , 3 , 4 , 7 
DINAMARCA , 15 , 3 , 18 
ECUADOR , 0 , 2 , 2 
EE. UU. DE AMERICA , 164 , 26 , 190 
EL SALVADOR , 1 , 0 , 1 
ESLOVAQUIA , 13 , 3 , 16 
ESLOVENIA , 1 , 0 , 1 
ESPAÑA , 350 , 93 , 443 
ESTONIA , 6 , 1 , 7 
FINLANDIA , 35 , 8 , 43 
FRANCIA , 276 , 53 , 329 
GRECIA , 23 , 3 , 26 
GUINEA ECUATORIAL , 1 , 2 , 3 
HAITÍ , 2 , 0 , 2 
HOLANDA (PAISES BAJO , 26 , 2 , 28 
HONDURAS , 1 , 0 , 1 
HUNGRIA , 11 , 2 , 13 
IRLANDA (EIRE) , 12 , 1 , 13 
IRÁN , 1 , 0 , 1 
ISRAEL , 1 , 0 , 1 
ITALIA , 350 , 26 , 376 
JAPÓN , 3 , 0 , 3 
JORDANIA , 12 , 1 , 13 
LETONIA , 1 , 2 , 3 
LITUANIA , 3 , 1 , 4 
LÍBANO , 3 , 0 , 3 
MALTA , 1 , 0 , 1 
MARRUECOS , 66 , 82 , 148 
MAURITANIA , 1 , 0 , 1 
MÉXICO , 109 , 23 , 132 
NORUEGA , 12 , 2 , 14 
NUEVA ZELANDA , 1 , 0 , 1 
PAKISTÁN , 1 , 0 , 1 
PALESTINA , 1 , 0 , 1 
PAPUA NUEVA GUINEA , 0 , 1 , 1 
PARAGUAY , 0 , 1 , 1 
PERÚ , 3 , 5 , 8 
POLONIA , 91 , 16 , 107 
PORTUGAL , 47 , 2 , 49 
REINO UNIDO , 117 , 21 , 138 
REPÚBLICA CHECA , 26 , 2 , 28 
RUMANÍA , 12 , 12 , 24 
RUSIA , 23 , 4 , 27 
SAHARA , 1 , 0 , 1 
SENEGAL , 1 , 0 , 1 
SERBIA , 1 , 0 , 1 
SIRIA , 2 , 2 , 4 
SUECIA , 9 , 0 , 9 
SUIZA , 30 , 11 , 41 
TURQUÍA , 4 , 3 , 7 
UCRANIA , 4 , 3 , 7 
URUGUAY , 0 , 4 , 4 
VENEZUELA , 9 , 4 , 13 
YUGOSLAVIA , 1 , 0 , 1 
SIN ESPECIFICAR , 515 , 204 , 719 
