TIPO DE BECA , ALUMNOS 
MEC. RÉGIMEN GENERAL , 10224 
MIN. TRABAJO ASUNTOS SOCIALES , 5 
MINISTERIO ASUNTOS EXTERIORES , 112 
SIN ESPECIFICAR , 1321 
GOBIERNO VASCO , 15 
SÓCRATES ERASMUS (Europa Occ) , 2288 
SÍCUE SÉNECA (Nacional) , 428 
LIBRE INTERCAMBIO (Internac.) , 44 
INTERCAMBIO (Internac.) , 70 
MARRUECOS , 46 
PDI , 0 
PAS , 0 
TOTAL BECARIOS , 14553 
