CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 5520 , , , , , 
SEGUNDO , 4838 , 2096 , , , , 
TERCERO , 4351 , 5920 , 1837 , , , 
CUARTO , 1958 , 2389 , 3036 , 908 , , 
QUINTO , 1775 , 2099 , 2556 , 3705 , 718 , 
SEXTO , 51 , 88 , 123 , 155 , 266 , 135 
