, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 3984,475 , 5027,493 , 9011,968 
SEGUNDO , 3206,1599 , 4766,2168 , 7972,3767 
TERCERO , 3062,3097 , 4410,3982 , 7472,7079 
CUARTO , 2159,1747 , 2215,2476 , 4374,4223 
QUINTO , 2400,2994 , 2024,3007 , 4424,6001 
SEXTO , 196,109 , 296,144 , 492,253 
