CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5346 , 7293 , 12639 
SEGUNDO , 5585 , 7726 , 13311 
TERCERO , 5984 , 7238 , 13222 
CUARTO , 3528 , 4501 , 8029 
QUINTO , 4677 , 5520 , 10197 
SEXTO , 155 , 254 , 409 
