del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 5346 , , , , , 
SEGUNDO , 4555 , 1030 , , , , 
TERCERO , 3370 , 4104 , 1268 , , , 
CUARTO , 1518 , 1257 , 2133 , 778 , , 
QUINTO , 1394 , 1155 , 1964 , 3212 , 852 , 
SEXTO , 6 , 24 , 36 , 50 , 74 , 61 
