TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 9427 
MIN. "TRABAJO, ASUNTOS" SOCIALES , 0 
MINISTERIO ASUNTOS EXTERIORES , 493 
SIN ESPECIFICAR , 1729 
GOBIERNO VASCO , 4 
ERASMUS (Internacional) , 0 
"SICUE, SENECA" (Nacional) , 0 
TOTAL BECARIOS , 11653 
