World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
1,Massachusetts Institute of Technology,82.1,90.4,63.2,100.0,100.0,18.6,100.0,78.2,100.0
2,University of California- Berkeley,77.3,77.5,47.6,98.9,89.8,21.4,90.9,100.0,82.2
3,Stanford University,73.1,76.0,54.4,78.6,81.7,17.4,72.7,90.1,98.7
4,Nanyang Technological University,60.6,85.9,83.9,32.1,97.0,6.3,90.9,27.7,73.9
5,Harvard University,56.0,47.7,40.0,48.1,68.9,16.9,81.8,53.5,88.5
6,University of California- San Diego,51.8,56.0,46.8,59.5,55.3,17.8,72.7,47.5,56.7
7,Tsinghua University,51.3,100.0,100.0,24.8,66.3,4.2,54.6,16.8,50.3
8,Carnegie Mellon University,50.8,86.1,60.5,56.6,41.8,11.0,54.6,39.6,52.9
9,National University of Singapore,49.4,91.2,65.6,42.7,56.0,7.8,72.7,21.8,47.1
10,University of Illinois- Urbana-Champaign,48.7,72.9,49.3,55.8,44.0,12.8,54.6,49.5,47.1
11,Swiss Federal Institute of Technology - Zurich,46.3,57.6,41.7,36.1,63.9,10.5,81.8,34.7,53.5
12,City University of Hong Kong,46.2,67.2,60.5,33.6,59.2,8.4,81.8,30.7,38.9
13,University of California- Los Angeles,45.1,52.8,33.7,45.6,59.6,14.5,72.7,38.6,49.7
14,Georgia Institute of Technology,44.0,64.3,52.7,45.3,44.3,11.8,63.6,28.7,44.0
15,Technion - Israel Institute of Technology,43.0,60.3,36.1,33.0,51.6,9.2,54.6,30.7,70.1
16,University of Washington- Seattle,41.9,44.9,34.9,35.6,45.7,13.3,72.7,39.6,51.6
17,Princeton University,40.9,38.1,33.4,27.2,44.1,12.0,72.7,34.7,66.2
18,University of Toronto,40.1,53.6,38.3,32.3,45.3,10.1,54.6,33.7,54.1
19,University of Michigan- Ann Arbor,39.8,48.6,37.6,33.5,46.7,11.6,72.7,28.7,45.9
20,Tel Aviv University,38.4,53.2,35.4,29.9,49.7,9.4,54.6,23.8,55.4
21,Swiss Federal Institute of Technology - Lausanne,38.0,50.3,41.2,35.4,39.5,11.8,54.6,32.7,40.1
22,Hong Kong Polytechnic University,38.0,56.8,54.6,24.9,60.6,7.3,81.8,17.8,18.5
23,University of Maryland- College Park,37.9,60.7,32.2,41.8,32.0,11.6,54.6,31.7,41.4
24,The University of British Columbia,36.7,37.3,34.6,28.7,52.9,12.9,72.7,19.8,44.6
25,University of Waterloo,36.7,62.9,50.5,27.2,41.3,7.2,54.6,18.8,37.6
26,University of Southern California,36.5,52.0,33.2,38.7,35.1,12.5,63.6,31.7,31.2
27,University of Oxford,36.2,38.0,32.2,32.9,43.0,14.5,63.6,32.7,37.6
28,Zhejiang University,35.9,61.5,74.4,10.7,51.2,2.9,54.6,7.9,33.1
29,Shanghai Jiao Tong University,34.9,65.3,62.9,12.8,45.0,3.3,72.7,14.9,17.8
30,Columbia University,34.3,44.5,30.5,29.8,36.3,11.2,54.6,23.8,47.1
31,Purdue University- West Lafayette,34.3,61.8,47.6,29.7,36.4,8.1,54.6,17.8,26.1
32,Katholieke Universiteit Leuven,34.0,49.0,42.2,23.2,52.0,7.9,63.6,15.8,30.6
33,University of Cambridge,34.0,41.5,31.5,25.1,46.0,10.1,72.7,17.8,38.9
34,The University of Texas- Austin,33.5,51.4,39.5,31.8,29.4,10.4,45.5,26.7,34.4
35,Imperial College London,32.0,48.6,40.0,20.8,45.7,7.2,63.6,12.9,29.9
36,University of Granada,31.4,35.4,32.2,16.7,57.0,7.9,90.9,23.8,8.9
37,Texas A&M University- College Station,31.3,40.8,32.4,19.5,35.2,8.0,63.6,13.9,44.6
38,The Chinese University of Hong Kong,31.1,51.3,39.8,22.4,28.4,7.3,54.6,9.9,40.8
