World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
65,University of Melbourne,59.1,57.0,56.5,54.9,67.4,50.0,73.3,57.2,60.1
66,University of Montreal,58.7,61.4,60.8,56.8,62.7,49.3,64.3,50.6,64.4
67,The University of New South Wales,58.6,62.0,65.1,55.5,63.2,48.3,64.3,49.7,62.0
68,Delft University of Technology,58.5,63.0,66.5,57.5,58.9,49.1,55.3,57.2,57.8
69,Johns Hopkins University,58.3,53.0,50.6,64.1,52.4,61.7,54.5,58.1,68.1
70,Eindhoven University of Technology,58.1,66.2,66.2,60.3,59.7,49.5,59.7,53.4,50.8
71,Beihang University,58.0,56.8,70.8,47.6,64.9,44.4,64.4,52.5,62.0
72,University of Wisconsin- Madison,57.6,58.3,57.3,57.9,54.3,51.6,54.8,61.0,61.5
72,Vanderbilt University,57.6,48.5,49.5,54.8,57.5,57.9,68.1,60.0,64.8
74,Arizona State University,57.5,59.5,58.9,56.9,58.0,50.2,59.6,53.4,62.5
74,Seoul National University,57.5,75.3,68.6,56.0,58.5,45.4,50.8,48.7,56.8
76,University of Edinburgh,57.4,58.7,58.1,54.9,59.0,49.2,55.3,59.1,62.5
77,Pennsylvania State University- University Park,57.3,61.8,57.9,61.2,54.5,51.8,59.2,59.1,52.2
77,Polytechnic University of Valencia,57.3,65.1,72.1,54.1,60.3,46.5,51.0,51.6,55.4
79,University of Alberta,57.2,62.1,57.9,57.0,56.7,49.2,59.4,55.3,59.7
79,University of North Carolina- Chapel Hill,57.2,52.7,51.1,58.3,53.4,56.4,59.0,59.1,65.3
79,"Northeastern University, China",57.2,52.8,63.0,49.5,64.3,47.6,64.4,57.2,58.7
82,University of Florida,57.1,62.2,56.3,60.2,57.2,51.0,50.7,57.2,59.7
82,University of Electronic Science and Technology of China,57.1,57.6,73.6,48.2,61.6,44.7,64.2,56.3,50.3
84,New York University,57.0,55.4,56.6,63.0,54.2,57.8,50.3,59.1,56.4
85,The University of Chicago,56.8,51.6,51.2,60.9,51.5,60.4,54.4,63.8,57.3
86,University of Pennsylvania,56.7,57.2,51.2,59.6,50.7,53.6,54.3,58.1,65.3
86,Korea University,56.7,70.7,67.4,52.2,57.7,44.5,55.2,49.7,56.8
88,National Taiwan University of Science and Technology,56.4,59.6,64.4,53.1,58.6,47.6,59.6,49.7,58.3
89,Nanjing University,56.2,53.3,64.3,49.4,59.8,47.3,68.3,53.4,55.0
90,Nanjing University of Science & Technology,56.0,48.2,60.6,49.4,63.6,51.0,68.6,58.1,51.2
91,University of Southampton,55.7,56.8,54.6,56.9,56.6,51.7,59.4,56.3,54.0
91,University of Bologna,55.7,61.0,55.4,57.4,56.9,49.8,59.4,52.5,54.5
93,"University of Technology, Sydney",55.6,49.9,56.0,46.9,66.5,46.4,68.8,58.1,55.0
94,University of Science and Technology of China,55.5,57.8,65.5,50.7,58.2,46.5,59.6,53.4,52.6
95,University of Amsterdam,55.4,57.7,52.3,59.9,53.8,53.4,59.1,56.3,51.2
95,McGill University,55.4,57.9,57.4,54.4,55.9,49.2,50.5,50.6,64.8
95,Northwestern University,55.4,51.8,51.9,53.5,57.0,52.5,68.1,56.3,55.0
95,Michigan State University,55.4,52.5,55.8,57.6,52.0,55.9,50.0,57.2,58.3
99,University of Queensland,55.2,53.6,50.8,54.4,57.8,51.8,59.5,61.9,52.2
100,University of London - King's College London,55.1,49.8,53.6,51.0,56.8,51.4,63.8,50.6,64.4
100,University of Sao Paulo,55.1,59.8,64.3,52.0,57.8,46.8,59.5,45.9,55.9
102,University of Twente,55.0,54.2,56.3,52.2,61.0,49.4,64.1,56.3,49.3
102,Vienna University of Technology,55.0,61.9,62.4,55.4,53.8,48.2,54.7,51.6,51.2
104,University of Lisbon,54.9,58.4,59.5,54.0,55.7,48.7,55.0,55.3,52.2
104,Polytechnic University of Milan,54.9,57.7,60.3,50.3,66.3,46.3,64.5,49.7,49.3
106,University of Pittsburgh- Pittsburgh,54.8,55.3,52.5,56.0,56.2,52.0,59.4,50.6,57.8
106,Humboldt University of Berlin,54.8,49.6,46.3,50.6,60.0,51.1,64.0,63.8,54.5
108,Polytechnic University of Madrid,54.7,59.8,67.4,49.4,57.6,45.0,55.2,46.9,55.9
108,Simon Fraser University,54.7,56.2,55.8,54.9,50.8,50.5,49.8,51.6,63.9
110,The Australian National University,54.6,49.0,49.5,52.6,62.9,54.4,64.3,55.3,52.6
111,Amirkabir University of Technology,54.5,53.1,60.9,48.5,62.6,46.5,60.0,52.5,53.6
112,Brunel University,54.2,50.5,49.8,51.9,55.0,51.9,54.9,68.5,49.3
113,Boston University,54.1,50.1,47.3,53.1,56.0,53.6,59.3,58.1,55.9
113,National University of Defense Technology,54.1,55.9,72.1,44.7,57.4,42.3,55.1,48.7,55.0
115,Virginia Polytechnic Institute and State University,54.0,56.9,58.1,53.9,54.9,49.3,59.2,47.8,53.6
115,Uppsala University,54.0,49.0,48.7,64.8,49.3,70.2,49.5,51.6,49.8
115,University of Barcelona,54.0,44.8,47.9,56.0,50.1,69.7,54.2,61.0,48.9
118,University of Sheffield,53.9,55.6,55.7,53.9,53.6,50.0,59.1,50.6,53.6
118,Tongji University,53.9,48.9,62.5,44.6,63.1,43.9,64.3,48.7,56.4
120,Technical University of Denmark,53.8,50.3,52.0,51.5,59.4,51.6,59.7,55.3,52.2
121,Rice University,53.7,49.3,47.7,53.0,51.3,54.6,54.4,68.5,49.3
122,Yonsei University,53.6,64.9,59.3,51.4,57.1,45.1,55.1,45.0,53.6
123,The University of Sydney,53.5,54.6,57.6,51.3,58.0,48.3,59.5,47.8,53.1
123,Central South University,53.5,47.5,55.8,46.4,55.8,47.2,63.7,55.3,56.4
123,Duke University,53.5,52.2,53.0,54.4,50.2,52.9,54.2,53.4,55.9
126,Indiana University- Bloomington,53.4,52.0,49.8,54.4,52.4,53.1,54.5,54.4,55.9
126,Chongqing University,53.4,49.2,55.7,45.7,66.7,45.3,64.6,51.6,52.6
128,National Tsing Hua University,53.0,59.8,59.0,51.5,55.5,46.4,63.6,44.0,48.9
129,Sun Yat Sen University,52.8,52.8,59.7,47.5,57.3,45.6,55.1,45.9,58.3
129,Monash University,52.8,55.3,53.9,52.3,55.7,48.9,55.0,50.6,51.7
129,North Carolina State University,52.8,54.4,54.7,54.1,52.4,50.9,50.0,55.3,49.3
129,State University of New York- Buffalo,52.8,52.7,53.8,51.9,53.0,50.1,59.0,52.5,50.8
133,University of Nottingham,52.7,50.7,51.5,51.5,55.6,51.2,54.9,53.4,53.6
134,National Central University,52.6,56.5,53.6,52.8,49.7,48.6,49.6,52.5,55.4
134,Utrecht University,52.6,53.4,48.1,56.7,52.6,54.1,54.6,52.5,50.3
136,University of Rome La Sapienza,52.5,59.1,55.4,52.4,52.8,47.3,54.6,46.9,53.1
136,University of Arizona,52.5,56.7,52.2,57.6,49.1,52.4,49.5,53.4,48.4
136,University of Paris VI: Pierre et Marie Curie,52.5,55.8,55.5,49.7,52.4,46.5,54.5,49.7,55.9
139,Aalto University,52.3,56.2,56.6,51.2,52.8,47.5,54.6,43.1,56.8
140,University of Ottawa,52.2,55.7,53.3,50.3,54.7,47.0,59.2,45.9,54.0
140,University of Bonn,52.2,46.9,46.8,49.0,54.1,51.9,59.1,48.7,62.0
142,University of Copenhagen,52.1,47.8,48.5,50.9,51.6,53.5,54.4,49.7,60.1
142,Yale University,52.1,50.9,46.5,54.2,49.2,54.0,54.1,49.7,58.3
144,RWTH Aachen University,52.0,56.2,56.0,52.1,50.8,48.2,49.8,46.9,55.0
145,Wuhan University,51.9,51.6,60.9,44.9,56.6,43.4,59.4,48.7,50.8
145,Brown University,51.9,49.2,47.1,54.2,49.0,56.0,58.5,54.4,48.4
