World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
1,University of California- Berkeley,91.2,84.8,76.9,100.0,98.4,69.9,93.9,100.0,100.0
2,Massachusetts Institute of Technology,89.5,91.9,81.3,100.0,92.6,66.2,71.9,100.0,100.0
3,Stanford University,87.9,83.4,74.0,100.0,88.3,64.7,81.8,100.0,100.0
4,Nanyang Technological University,86.2,93.2,100.0,74.8,100.0,48.7,83.0,85.7,97.4
5,University of California- San Diego,83.7,72.5,70.5,95.0,100.0,64.5,82.6,87.7,92.0
6,Harvard University,81.8,67.2,66.1,87.5,86.6,64.8,77.4,94.4,100.0
7,University of Illinois- Urbana-Champaign,79.1,83.1,74.7,92.6,71.6,57.6,70.7,94.4,76.9
8,Tsinghua University,78.7,100.0,100.0,66.8,94.3,45.0,72.0,66.5,83.6
9,Carnegie Mellon University,77.0,90.3,81.1,91.7,69.5,54.7,65.6,79.0,74.7
10,Swiss Federal Institute of Technology - Zurich,75.9,74.5,77.8,75.5,77.0,54.2,71.1,79.0,88.9
11,National University of Singapore,75.5,94.9,86.6,81.9,73.4,50.5,61.1,68.4,80.0
12,City University of Hong Kong,74.5,80.7,88.8,73.0,82.4,51.0,66.5,75.1,72.5
13,University of California- Los Angeles,71.2,69.2,61.9,81.8,69.5,60.1,70.6,80.0,71.1
14,Georgia Institute of Technology,70.8,80.1,75.2,82.9,67.3,55.1,65.5,66.5,68.5
15,Zhejiang University,70.7,80.1,88.8,53.7,87.3,43.5,77.5,60.7,76.0
16,Swiss Federal Institute of Technology - Lausanne,70.2,66.6,66.4,74.9,71.8,58.0,70.7,74.2,74.7
17,The University of Texas- Austin,70.1,70.5,71.4,72.0,67.3,54.3,65.5,74.2,78.2
18,University of Maryland- College Park,70.0,74.4,65.7,80.6,63.6,56.5,65.2,77.1,70.2
19,University of Toronto,69.0,71.4,67.7,70.4,68.1,53.0,65.5,75.1,74.7
20,University of Oxford,68.9,61.8,67.0,67.8,73.9,57.0,70.9,76.1,72.9
21,University of Michigan- Ann Arbor,68.6,67.6,65.3,72.8,70.8,56.2,70.7,70.3,72.0
22,University of Southern California,68.5,68.9,59.3,75.3,66.3,56.9,76.1,72.3,70.7
23,Princeton University,68.4,61.8,59.1,67.3,68.9,56.6,70.6,80.9,76.9
24,Hong Kong Polytechnic University,68.3,74.4,81.5,66.5,82.2,50.1,71.4,63.6,58.2
25,University of Washington- Seattle,67.0,64.6,58.2,70.3,66.9,56.6,65.4,76.1,73.3
26,Katholieke Universiteit Leuven,66.6,69.1,69.0,66.4,71.8,52.0,76.5,67.4,61.3
27,The University of British Columbia,66.1,61.3,60.6,71.8,66.2,60.2,65.4,65.5,74.2
28,Technion - Israel Institute of Technology,66.0,73.6,63.0,71.3,55.9,52.6,54.3,74.2,74.2
29,Shanghai Jiao Tong University,65.9,82.3,81.8,55.9,74.9,44.1,70.9,62.6,57.8
30,University of Cambridge,65.6,64.4,65.3,66.0,66.7,54.1,65.4,64.5,74.2
31,Columbia University,65.3,64.8,63.1,69.7,63.6,56.2,60.2,64.5,74.7
32,University of Waterloo,65.0,77.7,77.3,65.5,65.0,48.7,60.3,56.8,65.8
33,University of Granada,64.9,61.1,70.5,57.5,78.2,50.1,76.9,69.4,57.8
34,Tel Aviv University,64.5,69.9,60.4,68.9,61.8,52.9,65.0,66.5,68.0
35,California Institute of Technology,64.0,54.1,49.2,72.8,60.2,70.5,64.9,73.2,64.9
36,Southeast University,63.5,57.7,68.1,53.3,75.8,48.6,76.8,73.2,56.0
37,Purdue University- West Lafayette,63.4,75.7,69.2,67.8,60.6,50.3,54.8,59.7,64.9
38,The Chinese University of Hong Kong,63.3,70.0,66.8,62.9,66.6,49.8,65.4,55.9,68.5
39,University of Minnesota- Twin Cities,63.2,60.6,60.9,72.3,56.2,61.2,54.3,71.3,61.8
40,University of London - University College London,63.0,60.8,60.8,61.8,63.3,53.4,65.1,70.3,65.3
41,National Chiao Tung University,62.8,75.8,73.8,61.4,66.8,47.4,60.5,52.0,64.4
42,Imperial College London,62.7,68.8,66.8,61.9,67.1,49.7,60.5,54.9,70.2
43,Harbin Institute of Technology,62.6,62.2,70.5,52.1,70.1,45.9,65.7,65.5,66.7
44,Korea Advanced Institute of Science and Technology,62.4,73.2,70.5,60.3,64.2,47.5,65.2,55.9,62.7
45,Ghent University,61.5,62.9,70.3,56.6,67.6,48.7,65.5,57.8,62.2
46,Texas A&M University- College Station,61.1,63.3,64.1,59.6,60.6,50.5,59.9,56.8,70.7
47,Cornell University,61.0,58.8,55.4,65.3,56.6,57.6,54.4,59.7,74.7
48,University of California- Davis,60.8,58.6,56.2,64.9,52.7,57.4,59.0,66.5,66.2
49,National Taiwan University,60.7,71.9,74.7,61.0,62.2,48.2,55.0,54.9,56.0
50,The Hong Kong University of Science and Technology,60.4,66.6,64.1,61.6,61.8,50.3,60.0,53.0,64.9
51,The University of Manchester,60.3,64.8,55.1,64.6,60.1,53.0,54.8,63.6,63.6
51,The Ohio State University- Columbus,60.3,58.8,56.9,61.6,57.2,54.7,59.6,69.4,60.9
53,Technical University of Munich,60.1,60.8,58.7,55.5,65.4,48.9,70.3,52.0,71.1
54,University of Florida,60.0,62.1,63.1,59.4,62.7,50.9,70.1,53.9,59.6
55,The University of Hong Kong,59.9,62.3,60.8,57.2,62.2,49.3,60.1,61.6,63.6
55,National Cheng Kung University,59.9,70.5,71.6,54.5,65.7,45.3,60.4,48.2,63.6
57,The University of Tokyo,59.8,74.3,63.5,59.0,58.9,46.7,54.6,57.8,62.2
58,University of California- Irvine,59.6,60.3,55.1,60.5,59.6,52.7,59.8,61.6,65.3
59,University of Wisconsin- Madison,59.4,57.3,57.1,58.0,64.3,52.8,65.2,58.8,62.2
60,Eindhoven University of Technology,59.3,65.7,64.2,59.9,66.7,49.7,65.4,54.9,51.5
61,Xian Jiaotong University,59.2,61.2,66.3,52.0,66.3,46.1,70.4,57.8,55.6
