Descripción,Enlace
Ranking de Shanghai,http://www.shanghairanking.com/
Ranking de Taiwan,http://nturanking.lis.ntu.edu.tw/
Ranking ISI,http://www.rankinguniversidades.es/
"""La UGR en los rankings""",http://biotic.ugr.es/static/GestorArticulosRevista/*/la-ugr-en-los-rankings/ver
