World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
1,Massachusetts Institute of Technology,84.7,100.0,74.3,99.9,100.0,25.8,90.9,76.8,100.0
2,Stanford University,78.1,81.3,67.3,71.1,96.0,22.5,100.0,81.8,80.1
3,University of California - Berkeley,78.0,79.9,64.8,100.0,81.6,32.3,81.8,100.0,71.5
4,Harvard University,60.1,46.1,47.1,40.9,78.5,22.8,90.9,40.4,82.1
5,University of Illinois - Urbana-Champaign,58.6,80.0,63.0,62.8,57.3,20.2,72.7,40.4,64.2
6,National University of Singapore,57.1,98.5,74.0,39.7,73.0,10.4,72.7,18.2,68.2
7,Carnegie Mellon University,55.6,87.3,70.9,62.3,58.1,18.4,63.6,41.4,46.4
8,Nanyang Technological University,52.6,86.1,80.1,28.7,66.1,8.6,63.6,16.2,70.2
9,Princeton University,51.7,41.6,41.3,25.9,59.1,16.1,90.9,30.3,70.2
10,University of California - San Diego,50.9,58.9,46.2,55.3,50.3,24.2,63.6,45.5,52.3
11,Swiss Federal Institute of Technology - Zurich,50.3,48.2,50.5,29.1,71.2,15.6,90.9,26.3,45.0
12,Technion - Israel Institute of Technology,49.3,67.0,55.7,32.9,49.2,12.6,63.6,28.3,70.9
13,University of Southern California,49.3,59.5,48.6,43.3,54.5,18.7,72.7,30.3,51.7
14,Georgia Institute of Technology,48.9,72.9,67.3,45.6,51.7,16.1,63.6,31.3,41.1
15,City University of Hong Kong,48.4,70.0,69.7,30.6,57.8,11.3,63.6,22.2,56.3
16,Tsinghua University,47.9,75.1,100.0,19.1,65.1,6.6,63.6,13.1,44.4
17,University of California - Los Angeles,47.3,57.9,46.8,46.4,50.3,20.6,72.7,32.3,37.7
18,University of Maryland - College Park,46.7,71.0,54.4,46.9,46.4,17.0,54.5,31.3,50.3
19,National Cheng Kung University,44.3,53.0,80.7,11.2,45.4,5.5,54.5,3.0,88.7
20,University of Minnesota - Twin Cities,43.6,50.2,34.9,38.2,41.7,19.6,72.7,32.3,38.4
21,University of Waterloo,43.6,62.5,56.0,24.2,55.0,10.0,63.6,11.1,56.3
22,University of Michigan - Ann Arbor,42.9,56.8,43.7,34.4,51.8,15.6,63.6,20.2,46.4
23,Columbia University,42.9,48.3,38.2,29.5,40.9,15.8,63.6,25.3,60.9
24,National Chiao Tung University,42.9,71.2,73.7,22.2,36.3,8.0,45.5,13.1,71.5
25,University of Washington - Seattle,42.4,52.8,37.0,40.0,37.4,19.6,54.5,34.3,51.0
26,University of Toronto,41.2,55.7,49.8,30.7,33.9,14.2,54.5,22.2,57.0
27,Hong Kong Polytechnic University,41.0,57.8,61.5,21.6,52.6,9.6,63.6,8.1,45.0
28,University of Cambridge,39.9,39.8,40.4,27.3,46.7,17.7,72.7,17.2,37.1
29,Swiss Federal Institute of Technology - Lausanne,39.8,32.3,46.5,17.2,51.2,13.7,72.7,30.3,31.1
30,University of Oxford,39.7,37.5,39.4,31.3,39.1,21.5,63.6,32.3,35.1
31,The University of Texas - Austin,38.5,56.0,46.5,32.1,35.6,14.8,54.5,30.3,30.5
32,California Institute of Technology,38.2,32.4,21.1,31.9,38.9,25.3,63.6,36.4,33.8
33,Purdue University - West Lafayette,37.7,69.3,61.2,31.6,32.8,11.8,45.5,20.2,33.1
34,National Taiwan University,37.6,53.9,62.4,19.0,32.8,9.1,45.5,10.1,61.6
35,The University of Manchester,37.5,44.1,45.9,23.7,43.5,13.9,54.5,22.2,41.1
36,Tel Aviv University,37.2,59.4,44.3,31.1,27.8,13.5,45.5,21.2,49.0
37,The University of British Columbia,36.6,37.2,37.3,24.2,40.6,16.7,63.6,18.2,37.1
38,Katholieke Universiteit Leuven,35.9,42.2,47.4,21.2,44.7,13.0,63.6,17.2,25.2
39,University of California - Davis,35.5,33.8,33.6,24.9,42.7,19.0,63.6,26.3,22.5
