World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
1,Massachusetts Institute of Technology,77.9,100.0,59.2,100.0,100.0,20.4,88.9,78.8,68.9
2,University of California- Berkeley,77.0,85.3,61.6,98.9,96.0,23.6,88.9,100.0,51.2
3,Stanford University,71.6,82.1,58.6,74.6,89.2,18.5,88.9,85.9,57.3
4,Nanyang Technological University,61.0,87.6,85.2,28.4,93.7,6.6,88.9,16.2,70.7
5,Tsinghua University,58.6,98.1,100.0,20.9,77.5,4.4,77.8,18.2,68.3
6,Harvard University,58.6,48.9,41.1,41.8,80.3,17.4,88.9,49.5,69.5
7,City University of Hong Kong,58.0,69.5,58.1,30.3,68.2,8.9,88.9,27.3,84.2
8,Carnegie Mellon University,56.2,93.9,57.5,59.5,55.7,12.9,77.8,40.4,43.9
9,National University of Singapore,54.5,97.7,60.6,40.2,57.4,8.4,77.8,21.2,62.2
10,University of Illinois- Urbana-Champaign,51.7,78.4,51.2,56.4,60.0,14.7,66.7,44.4,37.8
11,University of Maryland- College Park,50.1,67.6,41.1,42.4,55.7,12.8,88.9,33.3,36.0
12,Georgia Institute of Technology,48.8,67.8,47.4,41.9,54.8,12.6,77.8,29.3,42.7
13,National Cheng Kung University,47.7,49.6,65.2,11.1,57.1,4.6,66.7,4.0,100.0
14,The University of Manchester,47.6,49.0,26.3,25.4,65.1,10.6,100.0,25.3,41.5
15,Hong Kong Polytechnic University,47.5,57.5,55.6,21.8,62.1,7.7,77.8,14.1,62.2
16,Swiss Federal Institute of Technology- Zurich,47.5,61.6,50.7,33.6,59.3,11.1,77.8,28.3,40.2
17,University of Toronto,46.7,57.8,39.5,30.4,47.5,10.7,77.8,27.3,56.1
18,University of California- Los Angeles,45.4,57.2,40.3,45.3,58.8,16.2,66.7,38.4,30.5
19,University of Granada,45.1,37.1,33.4,16.0,70.9,8.8,100.0,20.2,36.6
20,University of Michigan- Ann Arbor,44.7,51.3,37.3,31.4,59.7,12.5,77.8,24.2,42.1
21,Technion - Israel Institute of Technology,44.5,66.4,47.1,32.3,58.3,9.9,77.8,27.3,23.2
22,University of Oxford,44.3,39.6,31.0,31.8,43.1,16.3,88.9,33.3,35.4
23,National Chiao Tung University,44.1,62.7,53.7,21.0,49.2,6.8,55.6,12.1,78.7
24,University of California- San Diego,43.2,58.2,43.6,53.4,45.9,18.7,55.6,35.4,32.3
25,Shanghai Jiao Tong University,42.9,65.4,56.4,10.2,57.9,3.2,66.7,9.1,59.2
26,Swiss Federal Institute of Technology- Lausanne,42.5,53.1,37.8,35.2,46.4,13.5,77.8,32.3,23.2
27,University of Southern California,42.5,57.1,37.0,39.9,49.0,14.2,66.7,30.3,32.3
28,University of Washington- Seattle,42.4,48.0,33.2,35.2,38.1,15.0,66.7,34.3,46.3
29,University of Waterloo,41.9,66.4,52.1,25.9,48.0,8.0,77.8,14.1,28.1
30,The University of British Columbia,41.6,37.9,37.0,26.6,42.4,14.3,77.8,26.3,42.1
31,Tel Aviv University,40.7,58.3,37.8,29.3,42.1,10.3,66.7,22.2,41.5
32,Southeast University,40.5,26.5,36.2,8.6,59.0,6.7,88.9,21.2,39.0
33,Zhejiang University,40.4,58.6,71.0,9.5,40.1,3.3,66.7,8.1,50.6
34,Katholieke Universiteit Leuven,40.3,54.7,38.9,24.6,52.7,9.2,77.8,17.2,28.1
35,Purdue University- West Lafayette,38.9,64.9,58.1,28.8,37.4,9.0,55.6,18.2,34.8
36,The University of Tokyo,38.7,65.6,41.9,19.2,36.8,6.0,66.7,15.2,40.9
37,University of Minnesota- Twin Cities,37.9,42.9,26.0,34.0,38.2,16.2,66.7,29.3,29.3
