CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1390 , , , , , 
SEGUNDO , 2255 , 990 , , , , 
TERCERO , 2235 , 4161 , 2297 , , , 
CUARTO , 243 , 444 , 856 , 755 , , 
QUINTO , 592 , 627 , 1200 , 2974 , 1259 , 
SEXTO , 1 , 31 , 30 , 55 , 90 , 20 
