CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5159 , 6198 , 11357 
SEGUNDO , 5014 , 6901 , 11915 
TERCERO , 7096 , 9041 , 16137 
CUARTO , 3052 , 4335 , 7387 
QUINTO , 4681 , 5449 , 10130 
SEXTO , 179 , 166 , 345 
