, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4416,743 , 5551,647 , 9967,1390 
SEGUNDO , 3607,1407 , 5063,1838 , 8670,3245 
TERCERO , 3705,3391 , 5570,3471 , 9275,6862 
CUARTO , 2281,771 , 3339,996 , 5620,1767 
QUINTO , 2378,2303 , 3145,2304 , 5523,4607 
SEXTO , 89,90 , 131,35 , 220,125 
