TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 7411 
MEC. COLABORACION , 11 
MEC. PROMOCION EDUCATIVA , 20 
INST. ESPANOL DE EMIGRACION , 1 
MINISTERIO ASUNTOS EXTERIORES , 5 
JUNTA DE ANDALUCIA , 103 
OTRAS COMUNIDADES AUTONOMAS , 8 
SIN ESPECIFICAR , 4488 
UNIVERSIDAD DE GRANADA , 179 
TOTAL BECARIOS , 12226 
