UNIVERSIDAD DE GRANADA,Nº MEDIO DE CRÉDITOS MATRICULADOS,Nº MEDIO DE CRÉDITOS PRESENTADOS,Nº MEDIO DE CRÉDITOS SUPERADOS
ARTES Y HUMANIDADES,"44,83","39,57","38,99"
CIENCIAS,"50,07","47,61","47,21"
CIENCIAS DE LA SALUD,"49,41","46,64","46,30"
CIENCIAS SOCIALES Y JURÍDICAS,"48,37","45,32","44,81"
INGENIERÍA Y ARQUITECTURA,"42,24","38,49","37,76"
TODAS LAS RAMAS,"47,06","43,69","43,16"
