CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 12 , 14 , 26 
SEGUNDO , 34 , 29 , 63 
TERCERO , 60 , 61 , 121 
CUARTO , 44 , 51 , 95 
QUINTO , 70 , 73 , 143 
SEXTO , 0 , 0 , 0 
