del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 12 , , , , , 
SEGUNDO , 15 , 19 , , , , 
TERCERO , 4 , 21 , 37 , , , 
CUARTO , 3 , 9 , 13 , 25 , , 
QUINTO , 5 , 18 , 21 , 37 , 22 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
