CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1 , , , , , 
SEGUNDO , 5 , 15 , , , , 
TERCERO , 10 , 16 , 27 , , , 
CUARTO , 8 , 10 , 12 , 19 , , 
QUINTO , 7 , 9 , 16 , 27 , 24 , 
SEXTO , 0 , 0 , 0 , 0 , 0 , 0 
