, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4,8 , 13,1 , 17,9 
SEGUNDO , 14,20 , 9,20 , 23,40 
TERCERO , 5,55 , 15,46 , 20,101 
CUARTO , 11,33 , 16,35 , 27,68 
QUINTO , 7,63 , 14,59 , 21,122 
SEXTO , 0,0 , 0,0 , 0,0 
